"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","correct_choice"
"true","false","[]","[]","[]","preload","0","3982","0.0-0.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","","","","","","","","","","",""
"","","","","","instructions","1","10470","0.0-1.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","[{""page_index"":0,""viewing_time"":6487}]","6488","","","","","","","","","",""
"","","","","","instructions","2","12553","0.0-2.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","[{""page_index"":0,""viewing_time"":2082}]","2082","","","","","","","","","",""
"true","","","","","fullscreen","3","14946","0.0-3.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","1387","","","","","","","","","",""
"","","","","","instructions","4","25646","0.0-4.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","[{""page_index"":0,""viewing_time"":10699}]","10699","","","","","","","","","",""
"","","","","","instructions","5","30310","0.0-5.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","[{""page_index"":0,""viewing_time"":4663}]","4663","","","","","","","","","",""
"","","","","","html-keyboard-response","6","34313","0.0-6.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","35624","0.0-7.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","1308","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","39626","0.0-8.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","40366","0.0-9.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","739","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
"","","","","","html-keyboard-response","10","44368","0.0-10.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","11","45456","0.0-11.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","1087","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","",""
"","","","","","html-keyboard-response","12","49459","0.0-12.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","13","50246","0.0-13.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","786","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","",""
"","","","","","instructions","14","51508","0.0-14.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","[{""page_index"":0,""viewing_time"":1262}]","1262","","","","","","","","","",""
"","","","","","instructions","15","55470","0.0-15.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","[{""page_index"":0,""viewing_time"":3960}]","3961","","","","","","","","","",""
"","","","","","html-keyboard-response","16","56472","0.0-16.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","17","61474","0.0-17.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","18","62559","0.0-18.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","1084","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","19","67562","0.0-19.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","20","68374","0.0-20.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","811","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","21","73377","0.0-21.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","22","74085","0.0-22.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","706","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","23","79088","0.0-23.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","24","79729","0.0-24.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","640","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","25","84731","0.0-25.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","26","85396","0.0-26.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","664","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","5","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","27","90398","0.0-27.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","28","91476","0.0-28.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","1077","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","6","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","29","96479","0.0-29.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","30","97140","0.0-30.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","660","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","31","102143","0.0-31.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","32","102800","0.0-32.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","656","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","8","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","33","107802","0.0-33.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","34","108698","0.0-34.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","895","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","35","113700","0.0-35.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","36","114359","0.0-36.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","657","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","ten","museum_causal","causal_sequence","","","",""
"","","","","","html-keyboard-response","37","115360","0.0-37.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","38","120362","0.0-38.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","39","120914","0.0-39.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","551","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","restaurant_scheme","schematic_sequence","","","",""
"","","","","","html-keyboard-response","40","125916","0.0-40.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","41","126519","0.0-41.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","602","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","restaurant_scheme","schematic_sequence","","","",""
"","","","","","html-keyboard-response","42","131522","0.0-42.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","43","132148","0.0-43.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","625","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","restaurant_scheme","schematic_sequence","","","",""
"","","","","","html-keyboard-response","44","137150","0.0-44.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","45","137677","0.0-45.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","526","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","4","restaurant_scheme","schematic_sequence","","","",""
"","","","","","html-keyboard-response","46","142680","0.0-46.0","A2B974D4AD9C41959FF7090C03B7EA2D","019cee52-0a77-78ea-9b50-83dab6869400","019cee47-f225-7d34-90ea-6a2b73898f7d","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/restaurant_scheme/restaurant_scheme_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
