"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","732","0.0-0.0","ds4okfho3t71xeq","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2395","0.0-1.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":1661}]","1662","","","","","","","","","","",""
"","","","","","instructions","2","4919","0.0-2.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":2519}]","2522","","","","","","","","","","",""
"true","","","","","fullscreen","3","7210","0.0-3.0","ds4okfho3t71xeq","","","","1228","","","","","","","","","","",""
"","","","","","instructions","4","10045","0.0-4.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":2833}]","2834","","","","","","","","","","",""
"","","","","","instructions","5","10914","0.0-5.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":868}]","869","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","14930","0.0-6.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","17945","0.0-7.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","21950","0.0-8.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","22520","0.0-9.0","ds4okfho3t71xeq","","","","568","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","26536","0.0-10.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","27119","0.0-11.0","ds4okfho3t71xeq","","","","581","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","31125","0.0-12.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","13","31687","0.0-13.0","ds4okfho3t71xeq","","","","560","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","4","","","","","","",""
"","","","","","instructions","14","33023","0.0-14.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":1335}]","1335","","","","","","","","","","",""
"","","","","","instructions","15","36232","0.0-15.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":3209}]","3209","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","37260","0.0-16.0","ds4okfho3t71xeq","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","html-keyboard-response","17","38268","0.0-17.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","18","39432","0.0-18.0","ds4okfho3t71xeq","","","","1162","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","19","40438","0.0-19.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","41023","0.0-20.0","ds4okfho3t71xeq","","","","583","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","21","42025","0.0-21.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","42464","0.0-22.0","ds4okfho3t71xeq","","","","438","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","23","43470","0.0-23.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","24","43878","0.0-24.0","ds4okfho3t71xeq","","","","408","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","25","44883","0.0-25.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","26","45311","0.0-26.0","ds4okfho3t71xeq","","","","427","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","27","46317","0.0-27.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","28","46536","0.0-28.0","ds4okfho3t71xeq","","","","218","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","29","47543","0.0-29.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","30","47673","0.0-30.0","ds4okfho3t71xeq","","","","128","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","31","48678","0.0-31.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","32","48998","0.0-32.0","ds4okfho3t71xeq","","","","318","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","33","50011","0.0-33.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","34","50399","0.0-34.0","ds4okfho3t71xeq","","","","387","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","35","51412","0.0-35.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","36","51744","0.0-36.0","ds4okfho3t71xeq","","","","331","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","cat_care_semantic","semantic_sequence","randomized","","","",""
"","","","","","instructions","37","57006","0.0-37.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":5261}]","5261","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","63023","0.0-38.0","ds4okfho3t71xeq","","","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_7.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","","cat_care_semantic","semantic_sequence","","7","valuable","",""
"","","","","","html-keyboard-response","39","64039","0.0-39.0","ds4okfho3t71xeq","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","instructions","40","68494","0.0-40.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":4454}]","4455","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","71514","0.0-41.0-0.0","ds4okfho3t71xeq","","","","null","
                        <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                        <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                            <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_8.png"" class=""small-image"">
                            <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_6.png"" class=""small-image"">
                        </div>","null","","","","","","","","",""
"","","","","","html-button-response","42","72631","0.0-41.0-1.0","ds4okfho3t71xeq","","","","1116","
                        <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image  is worth <b>more money</b>?</h3></div>
                        <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                            <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_8.png"" class=""small-image"">
                            <img src=""images/semantic_sequence/cat_care_semantic/cat_care_semantic_6.png"" class=""small-image"">
                        </div>","1","part3_choice_neighbors","","cat_care_semantic","semantic_sequence","","","","6","7"
"","","","","","survey-text","43","79806","0.0-42.0","ds4okfho3t71xeq","","","","7145","","{""gender"":"""",""age"":"""",""decision_strategy"":"""",""consistency_check"":""""}","demographics_and_strategy","","","","","","","",""
"","","","","","instructions","44","80967","0.0-43.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":1161}]","1161","","","","","","","","","","",""
