"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","215","0.0-0.0","zr73vu0zpr32d2f","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1782","0.0-1.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1557}]","1566","","","","","","","","","","","","",""
"","","","","","instructions","2","4223","0.0-2.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":2430}]","2436","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","6680","0.0-3.0","zr73vu0zpr32d2f","","","","1425","","","","","","","","","","","","",""
"","","","","","instructions","4","7896","0.0-4.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1215}]","1215","","","","","","","","","","","","",""
"","","","","","instructions","5","8745","0.0-5.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":848}]","848","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","12748","0.0-6.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","15757","0.0-7.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","",""
"","","","","","html-keyboard-response","8","19759","0.0-8.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","22762","0.0-9.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","","",""
"","","","","","html-keyboard-response","10","26771","0.0-10.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","11","29786","0.0-11.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","3","","","","","","","","",""
"","","","","","html-keyboard-response","12","33794","0.0-12.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","13","34329","0.0-13.0","zr73vu0zpr32d2f","","","","532","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","4","","","","","","","","",""
"","","","","","instructions","14","36020","0.0-14.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1690}]","1690","","","","","","","","","","","","",""
"","","","","","instructions","15","37306","0.0-15.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1284}]","1286","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","38313","0.0-16.0","zr73vu0zpr32d2f","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","39325","0.0-17.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","18","40422","0.0-18.0","zr73vu0zpr32d2f","","","","1092","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","19","41432","0.0-19.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","20","41957","0.0-20.0","zr73vu0zpr32d2f","","","","521","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","21","42966","0.0-21.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","22","43383","0.0-22.0","zr73vu0zpr32d2f","","","","416","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","23","44399","0.0-23.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","24","44744","0.0-24.0","zr73vu0zpr32d2f","","","","342","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","25","45755","0.0-25.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","26","46095","0.0-26.0","zr73vu0zpr32d2f","","","","338","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","27","47100","0.0-27.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","28","47363","0.0-28.0","zr73vu0zpr32d2f","","","","260","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","29","48381","0.0-29.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","30","48751","0.0-30.0","zr73vu0zpr32d2f","","","","369","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","31","49763","0.0-31.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","32","50141","0.0-32.0","zr73vu0zpr32d2f","","","","378","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","33","51145","0.0-33.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","34","51726","0.0-34.0","zr73vu0zpr32d2f","","","","581","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","35","52742","0.0-35.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","36","53292","0.0-36.0","zr73vu0zpr32d2f","","","","549","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","instructions","37","54670","0.0-37.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1377}]","1377","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","60673","0.0-38.0","zr73vu0zpr32d2f","","","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","","coin_causal","causal_sequence","","4","valuable","","","",""
"","","","","","html-keyboard-response","39","61681","0.0-39.0","zr73vu0zpr32d2f","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","",""
"","","","","","instructions","40","62694","0.0-40.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1013}]","1013","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","65708","0.0-41.0-0.0","zr73vu0zpr32d2f","","","","null","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""small-image"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""small-image"">
                            </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","42","66437","0.0-41.0-1.0","zr73vu0zpr32d2f","","","","728","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""small-image"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""small-image"">
                            </div>","1","part3_choice_neighbors","","coin_causal","causal_sequence","","","","3","4","1","0"
"","","","","","html-keyboard-response","43","69445","0.0-42.0-0.0","zr73vu0zpr32d2f","","","","null","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""small-image"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""small-image"">
                            </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","44","70549","0.0-42.0-1.0","zr73vu0zpr32d2f","","","","1103","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""small-image"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""small-image"">
                            </div>","0","part3_choice_neighbors","","coin_causal","causal_sequence","","","","1","4","5","1"
"","","","","","html-keyboard-response","45","73556","0.0-43.0-0.0","zr73vu0zpr32d2f","","","","null","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""small-image"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""small-image"">
                            </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","46","74151","0.0-43.0-1.0","zr73vu0zpr32d2f","","","","594","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""small-image"">
                                <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""small-image"">
                            </div>","1","part3_choice_neighbors","","coin_causal","causal_sequence","","","","2","4","6","1"
"","","","","","survey-text","47","75814","0.0-44.0","zr73vu0zpr32d2f","","","","1296","","{""gender"":"""",""age"":"""",""decision_strategy"":"""",""consistency_check"":""""}","demographics_and_strategy","","","","","","","","","",""
"","","","","","instructions","48","78359","0.0-45.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":2545}]","2546","","","","","","","","","","","","",""
